Offset,Hash,Original,Translation
1668,2287242999,移動メニュー,
1672,852129926,{k345} 移動先,
1676,1392177950,"簡易ジャンプ機能の移動メニューが
新規追加されました。
是非ご利用ください！",
1680,424347735,{i131} 移動メニュー,
1704,1203610895,ﾈ,
2000,297220919,ランドへ移動(別の広場),
2004,1992173754,"同じ区の他のメゼポルタ広場に
移動します。",
2056,704898798,ワールドへ移動(別の区画),
2060,785213112,別の区のメゼポルタ広場に移動します。,
2112,1396521635,クエストボードへ移動,
2116,1052617886,クエストボードの手前に移動します。,
2168,3244781312,求人板へ移動,
2172,1331257573,求人板の手前に移動します。,
2224,419024311,猟団部屋へ移動,
2228,3113186758,"自分の所属している猟団の
猟団部屋へ移動します。",
2280,1274485260,マイハウスへ移動,
2284,2545062887,マイハウスへ移動します。,
2336,698138333,武具工房へ移動,
2340,466351174,"武具工房へ移動します。
（ミッション中は使用できません）",
2392,3189447196,くじを引きに行く,
2396,3743991522,"くじを引きに武具工房へ移動します。
（ミッション中は使用できません）",
2448,4238898706,メゼポルタ広場に移動,
2452,3987404873,メゼポルタ広場に移動します。,
2504,2841756627,パローネ＝キャラバンに移動,
2508,3000947238,"パローネ＝キャラバンに移動します。
（求人区では使用不可）
（HR2以上から使用可能）",
2560,1079542219,マイギャラリーに移動,
2564,4183321551,"マイギャラリーに移動します。
（入門区では使用不可）",
2616,2880941786,マイガーデンに移動,
2620,2759215740,マイガーデンに移動します。,
2672,1480357719,マイトレに移動,
2676,2608699021,"マイトレに移動します。
（HR4から使用可能）",
2728,820392076,マイサポートに移動,
2732,8750250,"マイサポートに移動します。
（他人のマイシリーズ入室中は
　使用不可）",
2784,1051869460,マイミッションに移動,
2788,1258892467,"マイミッションに移動します。
（HR5から使用可能）",
2840,2052966567,大衆酒場に移動,
2844,206093254,"大衆酒場に移動します。
（大衆酒場からマイシリーズに入った
　場合のみ使用可能）",
2896,3070152701,交流酒場に移動,
2900,3954671386,"交流酒場に移動します。
（交流酒場からマイシリーズに入った
　場合のみ使用可能）",
2952,4088895368,大衆酒場の入口に移動,
2956,975174727,"大衆酒場の入口に移動します。
（求人区のみ使用可能）",
3008,736737734,交流酒場の入口に移動,
3012,314419530,"交流酒場の入口に移動します。
（交流区のみ使用可能）",
3064,1396521635,クエストボードへ移動,
3068,1052617886,クエストボードの手前に移動します。,
3120,35118044,カシラへ移動,
3124,4258256859,カシラのキエルの手前に移動します。,
3176,419024311,猟団部屋へ移動,
3180,3167788581,"猟団部屋に移動します。
（猟団部屋からマイシリーズに入った
　場合のみ使用可能）",
3232,297220919,ランドへ移動(別の広場),
3236,632668192,"同じ区の他のメゼポルタフェスタ広場に
移動します。",
3288,704898798,ワールドへ移動(別の区画),
3292,785213112,別の区のメゼポルタ広場に移動します。,
