Offset,Hash,Original,Translation
56,3326793199,ﾀ!,
4124,4225443349,y,
4140,1710690026,・,
4156,1710690026,・,
4172,2466682349,ｫ,
4188,817534361,ﾉ,
4204,3453512931,ﾓ,
4220,1710690026,・,
4236,1710690026,・,
8720,50717077,緑,
8740,50717077,緑,
8760,50717077,緑,
8780,50717077,緑,
8800,50717077,緑,
8820,50717077,緑,
8840,50717077,緑,
8860,50717077,緑,
8912,50717077,緑,
8932,50717077,緑,
8952,50717077,緑,
8972,50717077,緑,
8992,50717077,緑,
9012,50717077,緑,
9032,50717077,緑,
9052,50717077,緑,
9520,50717077,緑,
9540,50717077,緑,
9560,50717077,緑,
9580,50717077,緑,
9600,50717077,緑,
9620,50717077,緑,
9640,50717077,緑,
9660,50717077,緑,
9712,50717077,緑,
9732,50717077,緑,
9752,50717077,緑,
9772,50717077,緑,
9792,50717077,緑,
9812,50717077,緑,
9832,50717077,緑,
9852,50717077,緑,
10296,50717077,緑,
10316,50717077,緑,
10356,50717077,緑,
10376,50717077,緑,
10396,50717077,緑,
10416,50717077,緑,
10436,50717077,緑,
10456,50717077,緑,
10476,50717077,緑,
10496,50717077,緑,
10516,50717077,緑,
10536,50717077,緑,
10556,50717077,緑,
10576,50717077,緑,
10596,50717077,緑,
10616,50717077,緑,
10636,50717077,緑,
10656,50717077,緑,
10676,50717077,緑,
10696,50717077,緑,
10716,50717077,緑,
10976,689160395,輝く杯,
10980,2822749582,踏破報酬枠追加,
11012,3981086859,宝飾剣,
11016,3063419353,踏破報酬抽選確率アップ,
11048,3956655652,古書物,
11052,3317041323,TRP増加,
11084,2280075651,小箱,
11088,3940957660,狩人祭効果発動,
11228,568692763,燭台,
11232,1426180670,パローネ大航祭効果発動,
11556,2972093992,赤,
11564,4255655515,橙,
11572,76688049,黄,
11580,50717077,緑,
11588,1173502841,青,
11596,2533732793,紫,
12952,50717077,緑,
