Offset,Hash,Original,Translation
2860,2884978887,@・,
4136,4069762369,:・,
4140,3929569923,",・",
1192148,2437846393,歌迎の調べ,
1266620,2241539439,"  家具が上に設置されているため
  この場所で収納出来ません。
  設置可能場所か、床で収納して下さい。",
1283560,4064504026,猟団に所属していません,수렵단에 소속되어 있지 않습니다.
1283672,3417677648,メゼポルタフェスタが開催しました！,
1283676,1648066096,メゼポルタフェスタが開催しました。ワールド「ﾒｾﾞﾌｪｽ」を選択してミニゲームを楽しみましょう。,
1283684,1774572459,通信がタイムアウトしたため,
1283688,3341325785,ゲームを中断してロビーに戻ります。,
1283692,2561551225,(チケットは消費されません。),
1283700,3572541825,プレイヤー数が４人ではなくなったので,
1283704,3341325785,ゲームを中断してロビーに戻ります。,
1283708,2561551225,(チケットは消費されません。),
1283712,2625947353,{k01}退出,
1283716,2601020773,残り時間：%2d,
1283724,464238541,"~C00フェスチケットが付与されています。
（個人ステータス画面で確認できます）",
1283728,2162841269,"~C00利用期間を終えた
フェスチケットを破棄しました。",
1283732,2162841269,"~C00利用期間を終えた
フェスチケットを破棄しました。",
1283740,3651909837,マッチング,
1283744,3570492320,＝＝＝＝＝＝＝＝＝＝＝,
1283748,720475847,参加者決定,
1283752,2997376955,参加者募集中,
1283756,3549587683,待ち時間：%3d {k01}退出,
1283776,1198599262,メゼポルタフェスタ開催,
1283780,2359881896,メゼポルタフェスタが終了しました。これよりランドを閉鎖します。,
1283784,120733627,（別のワールドへ強制的に移動となります）,
1283788,3091135544,終了時間前に別のワールドへ移動をお願いします。,
1283792,2077731305,あと５分でメゼポルタフェスタが終了し、ランドが閉鎖されます。,
1283796,1464770409,あと１０分でメゼポルタフェスタが終了し、ランドが閉鎖されます。,
1283800,1340361997,あと２０分でメゼポルタフェスタが終了し、ランドが閉鎖されます。,
1283804,1713060769,あと３０分でメゼポルタフェスタが終了し、ランドが閉鎖されます。,
1283812,3547905238,"~C00%sを
フェスポイントに変換します。
変換する枚数を決めてください。

%s(+%d)× %2d

決定",
1283816,344643908,"~C00フェスポイントに変換します。
よろしいですか？

フェスポイント    +%4d",
1283820,2756535524,"~C00フェスポイントが上限を超えた分は
受け取ることができません。
(上限：%d)
よろしいですか？

フェスポイント    +%4d",
1283824,3873207289,"~C00フェスポイントに変換しました。

フェスポイント    +%4d",
1283840,882563708,メゼフェス１人用券,
1283844,91406561,メゼフェス４人用券,
1283848,187877050,フェスポイント,
1283852,3030828244,%-16s： ~C00%s,
1283856,3059605173,-------,
1283860,334432025,%5d枚,
1283864,455039084,%7d,
1283868,582875191,【メゼポルタフェスタ】,
1283876,4140752191,"~C04コマンド表示設定　現在：%-12s~C00

「ニャれんどう」のゲーム中に登場する、
入力コマンドの表示形式を選択できます。",
1283880,4283436548,ゲームパッド,
1283884,414226219,キーボード,
1283904,1031209079,ゲームを開始する,
1283908,3097610830,%sとは？,
1283912,2969864399,ゲームに参加する,
1283916,1142503813,ポイント交換,
1283920,397201299,ランダム開始する,
1283924,3624886830,ゲームを試す,
1283928,3422701888,コマンド表示の変更,
1283932,3416758585,フェスチケット変換,
1283968,2188517191,"伝言板に関わる情報が更新されました。
一度伝言板を閉じて、再度お試しください。",
1283972,759102236,{k393},
1283976,2706479515,新規投稿,
1283980,874891869,{k392},
1283984,1824747271,編集,
1283988,1346965337,{k396},
1283992,3759951874,投稿削除,
1283996,1230126616,{k397},
1284000,1652518363,{k394},
1284004,2070174874,{k395},
1284008,2859946230,"~C00伝言は自分のものか、
猟団長でなければ削除できません。~C00",
1284012,159614487,~C05伝言を削除しますか？~C00,
1284016,3321172020,~C00削除しました。~C00,
1284020,1676567261,伝言を変更しますか？,
1284024,2378409949,キャンセルしますか？,
1284028,3815924400,この伝言を投稿しますか？,
1284032,1733690487,投稿内容を削除しますか？,
1284036,3200361160,"~C05タイトルまたはメッセージが
空白のため送信できません。~C00",
1284040,1217418287,{k387},
1284044,3927017102,猟団告知板へ,
1284048,282589484,猟団伝言板へ,
1284052,3521543377,投稿,
1284056,3469353687,{k398},
1284060,3620803478,{k399},
1284064,1221935124,キャンセル,취소
1284068,874891869,{k392},
1284072,3759951874,投稿削除,
1284076,2655584787,あと%d文字,
1284080,2484448233,{k400},
1284088,889639142,{k003}さらに詳しく,
1284092,3435717713,さらに詳しく,
1284096,2132539834,{k004},
1284100,1412868729,{k007},
1284148,1051802995,累計歌玉,
1284152,1247982305,狩煉道とは？,
1284164,2443233856,dat\extend\hlp_01_ren.txb,
1284176,1209314570,歌姫狩衛戦とは？,
1284188,2468509534,dat\extend\hlp_02_dv1.txb,
1284200,678938616,猟団迎撃戦とは？,
1284212,3287882189,dat\extend\hlp_03_dv2.txb,
1284224,2994526707,迎撃戦略とは？,
1284236,2599968180,dat\extend\hlp_04_dv3.txb,
1284244,1051802995,累計歌玉,
1284248,2686612664,特別猟団部屋とは？,
1284260,1067685351,dat\extend\hlp_05_dv4.txb,
1284268,1051802995,累計歌玉,
1284272,3971499350,とことこパートニャーとは？,
1284284,1942739488,dat\extend\hlp_06_tkp.txb,
1284292,1051802995,累計歌玉,
1284296,1503742374,ウルキーパチンコとは？,
1284308,1600996053,dat\extend\hlp_07_wlk.txb,
1284316,1051802995,累計歌玉,
1284320,3314459184,みんなでヴォルぱっくんとは？,
1284332,303507470,dat\extend\hlp_08_vol.txb,
1284340,1051802995,累計歌玉,
1284344,3747290815,グークすくいとは？,
1284356,3846196295,dat\extend\hlp_09_duk.txb,
1284364,1051802995,累計歌玉,
1284368,1470313738,ニャれんどうとは？,
1284380,1763292477,dat\extend\hlp_10_ren.txb,
1284388,1051802995,累計歌玉,
1284392,1338067971,パニックハニーとは？,
1284404,97245615,dat\extend\hlp_11_hny.txb,
1284412,1051802995,累計歌玉,
1284416,294351652,どっかん！タルにゃげとは？,
1284428,160591385,dat\extend\hlp_12_bmb.txb,
1284436,1051802995,累計歌玉,
1284440,3711994085,ポイント交換所とは？,
1284452,548630317,dat\extend\hlp_13_chg.txb,
1284460,1051802995,累計歌玉,
1284480,1470313738,ニャれんどうとは？,
1284492,1584672319,操作説明,
1284504,2013579806,ゲームルール,
1284516,2979707068,ランク・リザルト,
1284544,3889239807,"最終的にスコアによって、
ランクが変化します。

ランクは「Ｓ」「Ａ」「Ｂ」「Ｃ」の
４段階あります。

ランク別に決められたポイントと、
獲得したスコアをメゼフェス用
の補正値計算をして出た値、ランダム
ボーナス値（※）の合計がプレイに
よって獲得した、今回のフェスポイン
トになります。

~C69▼△▼△▼△▼△▼△▼△▼△▼△▼~C17
~C69≪ランダムボーナス≫~C17
・~C69ポイント交換所~C17から選択できる、
　「ランダム開始する」で遊ぶことで
　発生するボーナスです。

※「ランダム開始する」は~C69ミニゲーム
　の種類を選べない~C17代わりに、
　ボーナスポイントが発生します。
　（１人用ゲームのみ対象）
~C69▼△▼△▼△▼△▼△▼△▼△▼△▼~C17
",
1284556,3440602769,"「ニャれんどう」は、以下のゲーム
ルールに基づいてプレイします。

・制限時間：~C18１２０秒~C17

・アイルーが道を進んでいる間、
　次のコマンドが表示されます。
　この時、入力はまだできません。

・モンスターが出現してコマンドが
　一瞬光ると、入力ができるように
　なります。
　正確にすばやく入力しましょう。
",
1284568,3822302305,"・表示されているコマンド全てを
　正しく入力すると、
　アイルーがモンスターに攻撃します。
　攻撃終了後、スコアを獲得できます。

・途中でコマンドを間違えてしまうと
　モンスターの攻撃を受けます。
　制限時間が２秒減少するほか、
　途中まで正しく入力できていても
　最初から入力し直しになります。

・ボーナスモンスターの
　チャチャブーが出現した場合は
　表示されたボタンを連打して
　チャチャブーを沢山討伐しましょう。

・最終的にスコアによって、
　ランクが変化します。

・制限時間内にゴールにたどり着くと、
　残りタイムボーナスとして、
　スコアが加算されます。
",
1284580,1858305572,"「ニャれんどう」では、
表示されたコマンドを入力して
遊びます。

「ニャれんどう」で登場するコマンド
は下記の通りです。

・ゲームパッドの右側にある
　４つの丸いボタン

・ゲームパッドの左側にある
　十字キー

・ゲームパッドの上部にある
　ＬＲボタン
",
1284592,822533209,"コマンドの表示は、
ニャれんどう受付に話しかけ、
「コマンド表示の変更」にて
変更することができます。

選択可能な表示は下記の２種類です。
・ゲームパッド表示
・キーボード表示
",
1284604,2415483241,"表示されたコマンドを正確に入力し、
狩煉道ならぬニャれんどうを進んで
制限時間内にゴールを目指そう！

思わぬ強敵やボーナスモンスターが
出現することも…！？
",
1284640,3340684221,メゼポルタフェスタとは？,
1284652,1142503813,ポイント交換,
1284664,2970043456,ランダム開始とは？,
1284676,3416758585,フェスチケット変換,
1284704,2291421604,"４人用ゲームは４人揃わないとゲーム
が開始されません。そのため、場合に
よっては人数が揃わず遊べずに開催期
間が終わってしまった。（チケットが
使えなかった）という状況が発生する
場合が考えられます。

チケット変換では４人用のチケット
~C18（メゼフェス４人用券）に限り、
フェスポイントに変換~C17することが
できます。
※メゼフェス１人用券は対象外です。
　ぜひ遊んで全て使い切りましょう。
",
1284716,3115619727,"~C18１人用ゲーム限定~C17となりますが、
ランダムでどれか１つのゲームを
遊ぶことができます。

自分で選ばない代わりに、精算画面
では~C18ランダムボーナス~C17が発生し、通常
時のプレイよりは多くフェスポイント
を獲得することができます。
（ポイント交換所の受付からは、
ミニゲームのゲーム内容や操作の確認
を行うことはできません。各ゲームの
受付に話しかけて、ゲームの説明を
確認してください）
",
1284728,24983564,"フェスチケットを消費してゲームを
遊ぶと、ゲーム終了後の精算画面で
フェスポイントを獲得することが
できます。

獲得したフェスポイントを使い、
ポイント交換所では、さまざまな
アイテムを交換することができます。

~C18メゼフェス限定の外装防具を解放でき~C17
~C18るチケット~C17や、~C18物まね指南~C17のほか、
各種消費系アイテムと交換することが
できます。
※フェスポイントはフェスチケットと
　異なり、~C18開催期間が終了しても
　消失しません~C17。
",
1284740,1173338916,"~C18特定期間で開催~C17される、
チケットを消費して~C18ミニゲーム~C17を
遊び、獲得したポイントを使って
さまざまなものと交換して楽しむ
イベントです。

◆フェスチケットについて◆
ポイント獲得を目的としたミニゲーム
を遊ぶのに必要なチケットは、
開催毎に発行されます。このチケット
は~C18開催期間終了と共に消失する~C17ので、
期間内に使い切るようにしましょう。
（チケットの残り枚数は、個人ステー
タス画面から確認することができます）

チケットは１人用ミニゲームに使う
「~C18メゼフェス１人用券~C17」と、４人用
ミニゲームに使う「~C18メゼフェス４人用
券~C17」の２種類があります。
",
1284752,337978526,"◆４人用ゲームの設置について◆
ミニゲームには１人用と４人用があり
ます。~C18４人用ゲームは２種が開催毎に
切り替わって登場~C17します。
（同時に登場することはありません）

◆受付周辺のハンターについて◆
各ミニゲーム受付の周辺で、賑やかな
動作をしているハンター達がいますが、
彼らはミニゲームをプレイ中の狩人達
です。この状態では頭上の情報が
非表示となっています。
",
1284768,294351652,どっかん！タルにゃげとは？,
1284780,1584672319,操作説明,
1284792,2013579806,ゲームルール,
1284804,2979707068,ランク・リザルト,
1284832,4252465058,"最終的に~C18スコア~C17によって、ランクが
決まります。

ランクは「Ｓ」「Ａ」「Ｂ」「Ｃ」の
４段階あります。

ランク別に決められたポイントと、
獲得スコアの数をどっかん！タルにゃ
げ用の補正値計算をして出た値、ラン
ダムボーナス値（※）の合計がプレイ
によって獲得した、今回のフェスポイ
ントになります。

~C69▼△▼△▼△▼△▼△▼△▼△▼△▼~C17
~C69≪ランダムボーナス≫~C17
・~C69ポイント交換所~C17から選択できる、
　「ランダム開始する」で遊ぶことで
　発生するボーナスです。

※「ランダム開始する」は~C69ミニゲーム
　の種類を選べない~C17代わりに、
　ボーナスポイントが発生します。
　（１人用ゲームのみ対象）
~C69▼△▼△▼△▼△▼△▼△▼△▼△▼~C17
",
