Offset,Hash,Original,Translation
1412,3023397662,イベント詳細モード　{k342},이벤트 상세 모드　{k342}
1416,407463559,イベント詳細モード　{i157},이벤트 상세 모드　{i157}
1420,2364357788,{k93}{k94} 選択 {k01}キャンセル,{k93}{k94} 선택 {k01}취소
1424,589959984,{k03}受付へ移動,{k03}접수처로 이동
1428,2068948347,{k07}→,
1432,1590608932,←{k04},
1436,1120122657,~C05※入門区では利用できません~C00,~C05※입문구역에서는 이용할 수 없습니다~C00
1492,1930054014,現在、パローネ大航祭が開催中です！,"현재, 파로네 대항제가 개최 중입니다!"
1496,2786413838,"パローネ大航祭は、専用の航路クエストを達成し
そこで得たスコアで順位を競います。
ＨＲＰやz(Ｇ級ならＧＲＰやＧz)を獲得できます。","파로네 대항제는, 전용 항로 퀘스트를 달성하고
그곳에서 얻은 점수로 순위를 겨룹니다.
ＨＲＰ나 z(Ｇ급이라면 ＧＲＰ나 Ｇz)를 획득할 수 있습니다."
1500,988972770,－,
1504,988972770,－,
1528,2507104165,現在、極限征伐戦が開催中です！,"현재, 극한 정벌전이 개최 중입니다!"
1532,3575317034,"極限征伐戦は、1つのクエストを達成するたびに
難易度が上昇し、相応の報酬が獲得できます。
Ｇ級ハンターのみが受注可能なので注意です。","극한 정벌전은, 하나의 퀘스트를 달성할 때마다
난이도가 상승하며, 그에 걸맞은 보수를 획득할 수 있습니다.
Ｇ급 헌터만 수주 가능하니 주의하세요."
1536,895873464,現在、猟団征伐戦の開催中です！,"현재, 수렵단 정벌전이 개최 중입니다!"
1540,585029264,"残り時間　　　　　　　%02d:%02d:%02d
対象の極征モンスター　%s
支援条件　%s%2d%s
","남은 시간　　　　　　　%02d:%02d:%02d
대상 극정 몬스터　%s
지원 조건　%s%2d%s"
1564,3725442587,現在、狩人祭が開催中です！,"현재, 헌터축제가 개최 중입니다!"
1568,4190781468,"狩人祭は、猟団単位で参加するイベントです。
紅竜組と蒼竜組に分かれてクエストを達成し、
獲得した魂の納品数で勝敗が決まります。","헌터축제는, 수렵단 단위로 참가하는 이벤트입니다.
홍룡팀과 창룡팀으로 나뉘어 퀘스트를 달성하고,
획득한 혼의 납품 수로 승패가 결정됩니다."
1572,988972770,－,
1576,988972770,－,
1600,630898707,現在、公式狩猟大会が開催中です！,"현재, 공식수렵대회가 개최 중입니다!"
1604,3037892401,"公式狩猟大会とは、指定された種目で成績を競い
ランキングに応じた報酬が獲得できます。
韋駄天杯、巨大魚杯があります。","공식수렵대회란, 지정된 종목에서 성적을 겨루어
랭킹에 따른 보수를 획득할 수 있습니다.
속도왕전, 거대어배가 있습니다."
1608,988972770,－,
1612,988972770,－,
1636,2305137089,現在、天廊遠征録が開催中です！,"현재, 천랑원정록이 개최 중입니다!"
1640,2754095945,"天廊遠征録はＨＲ1から参加可能なイベントで、
部屋の様々な仕掛けやモンスターを攻略して
達成した階層に応じた報酬が獲得できます。","천랑원정록은 ＨＲ1부터 참가 가능한 이벤트로,
방의 다양한 장치나 몬스터를 공략하여
달성한 계층에 따른 보수를 획득할 수 있습니다."
1644,988972770,－,
1648,988972770,－,
1672,1996498365,現在、歌姫狩衛戦が開催中です！,"현재, 가희 수위전이 개최 중입니다!"
1676,164070445,"歌姫狩衛戦は、ＨＲ２から参加が可能です。
サーバー単位で歌姫の歌う祈歌の効果を決め、
大いなる脅威に立ち向かうイベントです。","가희 수위전은 ＨＲ２부터 참가가 가능합니다.
서버 단위로 가희가 부르는 기도가의 효과를 정하여,
커다란 위협에 맞서는 이벤트입니다."
1680,988972770,－,
1684,988972770,－,
1708,344312865,現在、メゼポルタフェスタが開催中です！,"현재, 메제포르타 페스타가 개최 중입니다!"
1712,4128126345,"メゼポルタフェスタはＨＲ２から参加可能です。
専用ワールド「ﾒｾﾞﾌｪｽ」へ移動して、
いろいろなミニゲームを楽しみましょう！","메제포르타 페스타는 ＨＲ２부터 참가 가능합니다.
전용 월드 「메제페스」로 이동하여,
다양한 미니게임을 즐겨봅시다!"
1716,988972770,－,
1720,988972770,－,
