Offset,Hash,Original,Translation
400,526812372,2010/08/12,
404,526812372,2010/08/12,
540,586762816,/刑?W,
784,3456441871,"0W
",
589604,1687026940,"대검은 다른 무기와 달리 방패가 없어서
무기 자체로 가드를 해야 한다. 따라서
~C06《예리도》~C05를 조금씩 소모하게 되지~C00!
가드에 너무 의존하면 순식간에 칼날이 다
빠져 너덜너덜해질 수 있다!",
589640,1687026940,"대검은 다른 무기와 달리 방패가 없어서
무기 자체로 가드를 해야 한다. 따라서
~C06《예리도》~C05를 조금씩 소모하게 되지~C00!
가드에 너무 의존하면 순식간에 칼날이 다
빠져 너덜너덜해질 수 있다!",
589676,1687026940,"대검은 다른 무기와 달리 방패가 없어서
무기 자체로 가드를 해야 한다. 따라서
~C06《예리도》~C05를 조금씩 소모하게 되지~C00!
가드에 너무 의존하면 순식간에 칼날이 다
빠져 너덜너덜해질 수 있다!",
589712,1687026940,"대검은 다른 무기와 달리 방패가 없어서
무기 자체로 가드를 해야 한다. 따라서
~C06《예리도》~C05를 조금씩 소모하게 되지~C00!
가드에 너무 의존하면 순식간에 칼날이 다
빠져 너덜너덜해질 수 있다!",
589748,1687026940,"대검은 다른 무기와 달리 방패가 없어서
무기 자체로 가드를 해야 한다. 따라서
~C06《예리도》~C05를 조금씩 소모하게 되지~C00!
가드에 너무 의존하면 순식간에 칼날이 다
빠져 너덜너덜해질 수 있다!",
589784,1687026940,"대검은 다른 무기와 달리 방패가 없어서
무기 자체로 가드를 해야 한다. 따라서
~C06《예리도》~C05를 조금씩 소모하게 되지~C00!
가드에 너무 의존하면 순식간에 칼날이 다
빠져 너덜너덜해질 수 있다!",
589820,1687026940,"대검은 다른 무기와 달리 방패가 없어서
무기 자체로 가드를 해야 한다. 따라서
~C06《예리도》~C05를 조금씩 소모하게 되지~C00!
가드에 너무 의존하면 순식간에 칼날이 다
빠져 너덜너덜해질 수 있다!",
589856,1687026940,"대검은 다른 무기와 달리 방패가 없어서
무기 자체로 가드를 해야 한다. 따라서
~C06《예리도》~C05를 조금씩 소모하게 되지~C00!
가드에 너무 의존하면 순식간에 칼날이 다
빠져 너덜너덜해질 수 있다!",
589892,1687026940,"대검은 다른 무기와 달리 방패가 없어서
무기 자체로 가드를 해야 한다. 따라서
~C06《예리도》~C05를 조금씩 소모하게 되지~C00!
가드에 너무 의존하면 순식간에 칼날이 다
빠져 너덜너덜해질 수 있다!",
589928,1687026940,"대검은 다른 무기와 달리 방패가 없어서
무기 자체로 가드를 해야 한다. 따라서
~C06《예리도》~C05를 조금씩 소모하게 되지~C00!
가드에 너무 의존하면 순식간에 칼날이 다
빠져 너덜너덜해질 수 있다!",
589964,1687026940,"대검은 다른 무기와 달리 방패가 없어서
무기 자체로 가드를 해야 한다. 따라서
~C06《예리도》~C05를 조금씩 소모하게 되지~C00!
가드에 너무 의존하면 순식간에 칼날이 다
빠져 너덜너덜해질 수 있다!",
590000,1687026940,"대검은 다른 무기와 달리 방패가 없어서
무기 자체로 가드를 해야 한다. 따라서
~C06《예리도》~C05를 조금씩 소모하게 되지~C00!
가드에 너무 의존하면 순식간에 칼날이 다
빠져 너덜너덜해질 수 있다!",
590036,1687026940,"대검은 다른 무기와 달리 방패가 없어서
무기 자체로 가드를 해야 한다. 따라서
~C06《예리도》~C05를 조금씩 소모하게 되지~C00!
가드에 너무 의존하면 순식간에 칼날이 다
빠져 너덜너덜해질 수 있다!",
590072,1687026940,"대검은 다른 무기와 달리 방패가 없어서
무기 자체로 가드를 해야 한다. 따라서
~C06《예리도》~C05를 조금씩 소모하게 되지~C00!
가드에 너무 의존하면 순식간에 칼날이 다
빠져 너덜너덜해질 수 있다!",
590108,1687026940,"대검은 다른 무기와 달리 방패가 없어서
무기 자체로 가드를 해야 한다. 따라서
~C06《예리도》~C05를 조금씩 소모하게 되지~C00!
가드에 너무 의존하면 순식간에 칼날이 다
빠져 너덜너덜해질 수 있다!",
590144,1687026940,"대검은 다른 무기와 달리 방패가 없어서
무기 자체로 가드를 해야 한다. 따라서
~C06《예리도》~C05를 조금씩 소모하게 되지~C00!
가드에 너무 의존하면 순식간에 칼날이 다
빠져 너덜너덜해질 수 있다!",
593636,1684325040,?,
593672,1684325040,?,
593708,1684325040,?,
593744,1684325040,?,
593780,1684325040,?,
595756,2238273450,"왕이 머리에 쓰는 왕관과도
같은 고룡종의 뿔. 압도적인
존재감을 자랑한다.",
595768,2238273450,"왕이 머리에 쓰는 왕관과도
같은 고룡종의 뿔. 압도적인
존재감을 자랑한다.",
595796,2631643800,"을 많이 쓴 장비. 무턱대고 ",
595876,103818623,길드품과는 다른 의문의,
595888,103818623,길드품과는 다른 의문의,
