Offset,Hash,Original,Translation
16,123907689,"""",
104072,427915228,"《프리미엄 퀘스트》
붉은 우두머리 수렵! [2인용]",
104248,1130828735,"각지에서 변종이나 기종의
정보가 올라오고 있습니다.
변종은 원종계, 기종은 
아종계와 매우 비슷하다고 
하는데 그 진상은 밝혀지지
않았습니다. 해당 종들의 공통
되는 특징을 강하게 지녔기에
범용성이 우수한 소재를 갈무
리할 수 있다더군요.",
107980,3045885870,",f?#g$g",
108988,594852794,bmrmsm,
109828,3421606280,도도브랑고 1마리 수렵,
109832,3790797632,가우시카 40마리 토벌,
109836,918732898,육식룡의 알 6개 납품,
109840,3139613908,"메인 타겟 또는
서브 타겟A나 B 달성",
109844,4021379861,"보수금 0
시간초과",
109848,3257868378,추위타는 헌터,
109852,3091138535,"업자끼리 이런 부탁하기도
거시기한데, 지금 바로 설산에
가서 여기 써 있는 것을 구해
줄 수 있겠나? 어떤가?
모피라면 자네들한테도 필요
하겠지? 아, 그런데 왜 스스로
하질 않는지 궁금한 건가? 
그건 말일세….",
110016,3298258727,"《수렵단 퀘스트》
늪지를 사랑해서",
110020,2043751565,오오나즈치 1마리 토벌,
110024,3142225949,도스이오스 1마리 수렵,
110028,2961131408,잿빛 수정원석 6개 납품,
110032,3139613908,"메인 타겟 또는
서브 타겟A나 B 달성",
110036,4021379861,"보수금 0
시간초과",
110040,2684463196,부지런한 채굴가,
110044,1481799807,"늪지라… 음, 좋은 곳이지.
하지만 거기에 독을 내뱉는
빨간 녀석이랑, 있는지 없는지
보이지도 않는 이상한 녀석이
있으면, 대체 어쩌라는 거야?
그런 느낌이 들거든.
죄다 채굴에 방해가 된다구.
그래서 말인데 자네들.
처리를 부탁하네.",
110208,2408113046,"《수렵단 퀘스트》
벚꽃 휘날리는 밤",
110212,1997704318,리오레이아 아종 1마리 수렵,
110216,3719306451,바바콩가 2마리 수렵,
110220,420797602,없음,
110224,1674720178,"메인 타겟 또는
서브 타겟A 달성",
110228,4021379861,"보수금 0
시간초과",
110232,1446728941,깃펜 고양이,
110236,722128387,"이 퀘스트에는 정말 벚꽃 색깔
몬스터가 잔뜩 등장한댜옹. 
그렇게 말하니 벚꽃 핀 야경을
떠올릴지도 모르겠지먀옹,
몬스터에 따라서 악취를 풍기
는 녀석도 있으니 정말 주의
해야 한댜옹.
건투를 빈댜옹.
",
110260,2356836465,"밀림은 정말 좋지. 거기 채굴
포인트는 정말 최고라구. 생각
만으로도 오금이 쑤시는 걸.
근데, 좀 거시기 하단 말이지.
해변에 널려 있는 것들 말이
야. 보스 따라 꼬이는 똘마니
들 같잖아. 자네들이 가서 싹
쓸어버리고 와주지 않겠나?
부탁하네.",
110400,116794874,"《수렵단 퀘스트》
영주와 졸개들?",
110404,4164041885,다이묘자자미 2마리 수렵,
110408,319129502,다이묘자자미 1마리 수렵,
110412,2219452830,다이묘자자미의 껍질 파괴,
110416,3139613908,"메인 타겟 또는
서브 타겟A나 B 달성",
110420,4021379861,"보수금 0
시간초과",
110424,2684463196,부지런한 채굴가,
110428,2356836465,"밀림은 정말 좋지. 거기 채굴
포인트는 정말 최고라구. 생각
만으로도 오금이 쑤시는 걸.
근데, 좀 거시기 하단 말이지.
해변에 널려 있는 것들 말이
야. 보스 따라 꼬이는 똘마니
들 같잖아. 자네들이 가서 싹
쓸어버리고 와주지 않겠나?
부탁하네.",
110592,3226002950,"《수렵단 퀘스트》
모스의 보은?",
110596,2249007651,그라비모스 아종 1마리 수렵,
110600,420797602,없음,
110604,420797602,없음,
110608,543347264,메인 타겟 달성,
110612,3255065727,"보수금 0/시간초과
모스 5마리 토벌",
110616,2859002086,버섯 수집가,
110620,1176250265,"모스 녀석들이 개룡이랑
싸우고 있는 모양이야.
그건 분명히 개룡이 짓밟은
버섯 산지 때문일 게야.
난 이해한다네. 버섯 성지가
망가졌을 때의 그 분노!
그래서 말인데 부탁 좀 하지!
모스를 도와주게나!",
110784,1757556007,"《수렵단 퀘스트》
울부짖는 사자",
110788,4220395431,라쟌 1마리 수렵,
110792,2257647677,티가렉스 1마리 수렵,
110796,420797602,없음,
110800,1674720178,"메인 타겟 또는
서브 타겟A 달성",
110804,4021379861,"보수금 0
시간초과",
110808,1446728941,깃펜 고양이,
110812,2761976023,"침착하게 들어주시길 바랍니
댜옹! 설산에서 그 두 마리가
동시에 출현했다는 보고가
들어왔습니댜옹! 그 두 마리란
바로, 화내면 무서운 금사자와
무서운 얼굴로 쫓아오는 굉룡
입니댜옹! 
이번에는 한 녀석만 수렵해서
돌아와도 괜찮습니댜옹!",
110976,646456238,"《수렵단 퀘스트》
므흣한 계절",
110980,3304338031,히프노크 번식기 1마리 수렵,
110984,2212040055,히프노크 1마리 수렵,
110988,420797602,없음,
110992,2894028455,모든 머스트 오더 달성,
110996,4021379861,"보수금 0
시간초과",
111000,2809653108,실연당한 모험가,
111004,2529925573,"수해에서 면조 두 마리가 붙어
있었어!
나도 아직 싱글인데 이건 용서
할 수 없어! 아 그…그게 아니
라, 그…그래, 바로 수해의 평
화를 위해서야! 평화를 위해서
두 마리 모두 퇴치해 줘!",
111044,1648040800," ?",
111168,439885424,"《수렵단 퀘스트》
바위와 용암",
111172,4046408062,볼가노스 아종 1마리 수렵,
111176,3007255024,바사루모스 1마리 수렵,
111180,420797602,없음,
111184,2894028455,모든 머스트 오더 달성,
111188,4021379861,"보수금 0
시간초과",
111192,2683077332,자칭 헌터,
111196,512288860,"내 헌터 생활에서 최악의
재난에 봉착했다. 너희라도
분명 그렇게 생각할 거야.
이건 뭐 바위 밭에 한 놈,
용암에 또 한 놈이 있거든.
게다가 머스트 오더는 
2마리를 수렵하라잖아?
참나…. 나는 무리야.
너희도… 그렇지?",
111360,4189213570,"《수렵단 퀘스트》
녹색, 녹색 그리고 녹색",
111364,226015947,에스피나스 1마리 토벌,
111368,1808043445,리오레이아 1마리 수렵,
111372,420797602,없음,
