Offset,Hash,Original,Translation
132,3269040291,mhflog,
2436,3406680314,;?,
361684,2603140172,마을주민 같은 헌터,
361688,2909378745,일 좀 하는 헌터,
361692,1971392788,본 적 있는 헌터,
361696,3895639206,전설을 이야기하는 헌터,
361700,36976057,열성이 느껴지는 헌터,
361704,1735073269,이름이 기억나는 헌터,
361708,19904431,신뢰감이 싹튼 헌터,
361712,3597210497,감사받는 헌터,
361716,71458967,신뢰감으로 이어진 헌터,
361720,1125907734,의지가 되는 헌터,
361724,3534950997,성공가도를 달리는 헌터,
361728,505433226,전속계약을 하고픈 헌터,
361732,3573324028,전설을 만드는 헌터,
361736,3731854133,전설을 만들었던 헌터,
361744,1114425901,"――――――――――――
각지에서 모여든 헌터나
여행자들이 상거래 및
정보 교환의 요지로
이용하는 곳입니다.

《헌터 등록 접수처》나
신참용 퀘스트 접수처 등
사냥 초보자를 위한
시설이 있습니다.

―――― 메제포르타 광장",
361748,779406482,"――――――――――――
그 밖에도 《수렵단》을
관리하는 시설이나
사냥 파티원을 구하는
《구인 게시판》
《가구점》《미용실》
등 독특한 시설들이
많이 있습니다.

낚시터도 있습니다.

―――― 메제포르타 광장",
361752,2090821857,"――――――――――――
이 광장 곳곳에 있는 
거대한 게시판입니다.

《집회소》에서 만들어진
거리의 설정이 그대로
게시되므로 동행하고
싶은 퀘스트가 있다면
참가할 수 있습니다.


―――――― 구인 게시판",
361756,1518378301,"――――――――――――
광장과는 다른 퀘스트를
수주할 수 있는
《대중주점》이 있습니다.
단, 참여 인원에 제한이
있으므로 혼자 가거나
다른 사람이 있는 거리에
참가해야 합니다.
모집문으로 같은 목적의
동료를 찾을 수 있습니다.

――――― 돈도르마 거리",
361760,4125694209,"――――――――――――
《메제포르타 광장》에서
며칠에 한 번 열리는
축제입니다.

상점에 물건이 늘어나거나
반값 세일을 하는 경우도
있어 헌터들도 환영하는
서비스입니다.


――――――――페 스 타",
361764,3088368459,"――――――――――――
거리에 들어서면 먼저
들르게 되는 장소입니다.

빼곡히 들어선 상점에서
아이템을 사고팔 수
있으므로 마음껏 쇼핑을
즐기시기 바랍니다.



――――――――중앙광장",
361768,684453827,"―――――――
생필품은 물론
사냥 용품에
이르기까지
다양한 아이템을
판매합니다.

필요한 것이 있다면
여기서 구입합시다.


――――――――도구상점",
361772,3982580444,"―――――――
항상 실패 없이
조합해 드립니다.


단, <조합 레시피를
알고 있는 것>만
조합해 드립니다.



――――――――조합상점",
361776,383945722,"―――――――
다양한 식료품이
준비되어
있습니다.

가끔은 식료품을
잔뜩 사서 친구들을 초대해
즐거운 파티를 열어 보면
어떨까요?


――――――――식료품점",
361780,161198533,"――――――――――――
중앙광장 북쪽의
《대장로전》으로 통하는
길인《대계단》

하늘까지 닿을 것 같은
이 계단은 돈도르마의
상징이기도 하며, 일부
허가받은 자만이 오를
수 있습니다.

――――――――대 계 단",
361784,1630495533,"――――――――――――
중앙광장의 안쪽에 있으며
외적의 침입을 막기 위해
건조된 문입니다.

이 문이 열린다면 그건
바로 이 마을에 큰일이
생겼다는 뜻입니다.
열리는 일이 없기를
바랄 뿐입니다.

――――――――요 격 문",
361788,3772217232,"――――――――――――
《식사》를 하면 이따금
능력 이상의 힘을 발휘
하며, 친구를 초대해서
대접하면 초대된 친구도
동일한 혜택을 받습니다.

또한 침대에서 잠이 들면
무기를 조작하는 꿈도
꿀 수 있을 겁니다.

―――――― 마이 하우스",
361792,1335397924,"――――――――――――
하지만 아무나 불쑥불쑥
자기 집에 들어오는 건
반갑지 않을 겁니다.

따라서 책장에서 입장을
제한할 수 있도록 되어
있습니다.

유용하게 사용하십시오.

―――――― 마이 하우스",
